i_large_loan,i_medium_loan,rate_spread,i_refinance,age_r,cltv,dti,cu,first_mort_r,i_FHA,i_open_year2,i_open_year3,i_open_year4,i_open_year5,score_0,score_1,score_2,duration,nsmoid,analysis_weight,open_year,pmms,i_open,considerations,applications,i_close_first_year,i_married,i_higher_ed,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,change_score_0,change_score_1,change_score_2
0,0,-.83,0,.28999999,.77999997,.25,2,1,0,0,0,0,0,7.8400002,7.75,8.0500002,4,201524,1905.339552238806,2013,4.459999993443489,1,3,3,0,0,1,3.6299999,3.895689,3.8419178,3.6166666,1,1,1,0,-.090000153,.21000004
0,0,.34,0,.28,.92000002,.5,2,1,0,0,0,0,0,7.46,7.9200001,7.73,4,203738,1706.654411764706,2013,4.28999999165535,0,2,1,0,0,1,4.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,.46000004,.26999998
0,0,-.04,0,.27000001,.95999998,.25,2,2,1,0,0,0,0,7.3899999,6.8000002,6.8400002,4,201770,3025.065165876777,2013,3.419999994337559,1,1,1,0,0,0,3.3799999,3.895689,3.8419178,3.6166666,1,1,1,0,-.58999968,-.54999971
0,0,.35,0,.28,.94999999,.25,2,1,0,0,0,0,0,7.6900001,7.3800001,7.8299999,4,202666,1706.654411764706,2013,3.529999993741512,1,2,1,0,0,0,3.8799999,3.895689,3.8419178,3.6166666,1,1,1,0,-.30999994,.13999987
0,0,.35,0,.23,.75,.5,2,1,0,0,0,0,0,7.3600001,7.73,7.7800002,4,202977,1706.654411764706,2013,3.529999993741512,1,3,1,0,0,1,3.8799999,3.895689,3.8419178,3.6166666,1,1,1,0,.36999989,.42000008
0,1,.1,0,.25,.64999998,.5,2,1,0,0,0,0,0,6.3099999,6.5300002,6.1900001,4,202858,1905.339552238806,2013,3.399999998509884,0,2,1,0,0,1,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,.22000027,-.11999989
0,0,.22,1,.70999998,1.04,.75,2,2,0,0,0,0,0,6.5999999,6.9299998,6.1999998,4,203061,1437.587274774775,2013,3.909999996423721,0,3,1,0,1,1,4.1300001,3.895689,3.8419178,3.6166666,1,1,1,0,.32999992,-.4000001
0,0,.6,1,.58999997,.74000001,.75,2,2,0,0,0,0,0,7.2399998,7.21,6.8200002,4,203654,1028.749258064516,2013,4.399999991059303,1,1,1,0,0,0,5,3.895689,3.8419178,3.6166666,1,1,1,0,-.029999733,-.4199996
0,1,-.04,1,.57999998,.79000002,.75,2,2,1,0,0,0,0,8.21,8.0500002,7.9499998,4,203562,1028.749258064516,2013,3.53999999910593,1,1,1,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,-.15999985,-.26000023
1,0,-.04,0,.67000002,.61000001,.5,2,2,0,0,0,0,0,7.0300002,7.5799999,7.9099998,3,204127,1437.587274774775,2013,3.53999999910593,0,1,1,0,1,1,3.5,3.895689,3.8419178,3.6166666,1,1,0,0,.54999971,.87999964
